measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Viet Nam,Both,All ages,Acute hepatitis,Number,2017,393.11573038408255,521.8757891000574,295.5824031105675
Deaths,China,Both,All ages,Measles,Number,2017,5.10308564537254,7.495985585260859,3.3694000522355276
Deaths,China,Both,All ages,Malaria,Number,2017,0.0,0.0,0.0
Deaths,China,Both,All ages,Asthma,Number,2017,25849.13806648486,30492.494502082336,21819.00772469878
Deaths,China,Both,All ages,Acute hepatitis,Number,2017,3692.8932551912467,4498.4344306013245,3095.598339984711
Deaths,Bangladesh,Both,All ages,Tuberculosis,Number,2018,31341.614148097902,38018.92901304183,25222.57018283301
Deaths,China,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Viet Nam,Both,All ages,Diabetes mellitus,Number,2017,27417.985208248414,32115.555511270744,22806.615436156284
Deaths,Bangladesh,Both,All ages,Stroke,Number,2018,163157.42956447383,196484.88174029387,136526.8496552277
Deaths,Bangladesh,Both,All ages,Rheumatoid arthritis,Number,2018,663.3296058570505,1026.1508432237729,435.04798954103387
Deaths,Bangladesh,Both,All ages,Measles,Number,2018,308.7289021296562,695.2826578343922,96.4537171982973
Deaths,Bangladesh,Both,All ages,Malaria,Number,2018,1304.2202241101015,3298.3810566785714,244.86361437251094
Deaths,Bangladesh,Both,All ages,Asthma,Number,2018,12634.53660898943,19669.302607189653,8010.75957259619
Deaths,Congo,Both,All ages,Tuberculosis,Number,2021,1909.6646031753592,2838.8793257160246,1172.663643567063
Deaths,Congo,Both,All ages,Tuberculosis,Number,2017,1955.3784640649574,2800.893160156944,1247.5071270821036
Deaths,China,Both,All ages,Diabetes mellitus,Number,2017,160005.0107832836,183818.45200966115,139397.0930065312
Deaths,Bangladesh,Both,All ages,Measles,Number,2019,450.50716911472557,1149.6690722659414,125.7115010657612
Deaths,Bangladesh,Both,All ages,Malaria,Number,2019,1564.567045175016,3088.3517816911713,374.21851298646686
Deaths,Nigeria,Both,All ages,Malaria,Number,2018,207317.80075756615,420791.02600352507,74549.37155972364
Deaths,China,Both,All ages,COVID-19,Number,2021,1062.850741377424,4023.525735589782,85.43020874765091
Deaths,China,Both,All ages,Tuberculosis,Number,2017,42120.41343814894,50668.64240126421,35300.702164238864
Deaths,China,Both,All ages,Rheumatoid arthritis,Number,2017,9334.464194389348,11253.292159675842,6880.087227704238
Deaths,Congo,Both,All ages,Acute hepatitis,Number,2017,40.18328177282669,74.14132900517568,16.46895569262757
Deaths,Congo,Both,All ages,Measles,Number,2021,22.628177505215955,40.86630420449741,10.58817086688623
Deaths,Congo,Both,All ages,Malaria,Number,2021,2439.276171645046,4789.946423448607,893.2947750895945
Deaths,Ethiopia,Both,All ages,Acute hepatitis,Number,2018,2953.1325509355775,3800.621161222264,2158.02265727899
Deaths,Bangladesh,Both,All ages,Acute hepatitis,Number,2018,3337.929780923088,4303.045245235645,2571.6717546424734
Deaths,Ethiopia,Both,All ages,Acute hepatitis,Number,2019,2939.867004382866,3856.0998524317356,2183.033150994478
Deaths,Bangladesh,Both,All ages,Diabetes mellitus,Number,2018,35134.327286817614,41457.48223700605,28802.410503621904
Deaths,Congo,Both,All ages,Rheumatoid arthritis,Number,2021,0.9432601217453053,11.024335173282083,0.2730791181037515
Deaths,China,Both,All ages,Rheumatoid arthritis,Number,2021,10279.107605425832,12614.824910487203,7411.4480155577285
Deaths,Bangladesh,Both,All ages,Acute hepatitis,Number,2019,3275.4672671184444,4339.249442006491,2485.90426379908
Deaths,Congo,Both,All ages,Stroke,Number,2017,2710.6649768334446,3366.765789147802,2098.9136128688665
Deaths,China,Both,All ages,Stroke,Number,2017,2347926.9858386302,2685497.790433255,2058003.1333735664
Deaths,Japan,Both,All ages,Tuberculosis,Number,2018,3893.8237437351027,4325.583261415693,3101.502489048864
Deaths,Japan,Both,All ages,Stroke,Number,2018,140269.5014389285,156352.8262231906,110987.36783674337
Deaths,Bangladesh,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,Congo,Both,All ages,Asthma,Number,2021,304.66619869451574,462.41619952872674,207.38931659947946
Deaths,Congo,Both,All ages,Stroke,Number,2021,2961.276291376216,3694.2400428212386,2257.659686510897
Deaths,Bangladesh,Both,All ages,Tuberculosis,Number,2019,30669.006790518775,37659.41806207534,24417.3209086812
Deaths,Viet Nam,Both,All ages,Acute hepatitis,Number,2018,374.8666318063351,498.55105434805637,274.04225768624786
Deaths,China,Both,All ages,Acute hepatitis,Number,2021,3017.822212611877,3957.8154961985438,2353.6006928132256
Deaths,Bangladesh,Both,All ages,Diabetes mellitus,Number,2019,37080.89487344521,43881.307172258494,30320.93026493996
Deaths,Congo,Both,All ages,Acute hepatitis,Number,2021,36.28888496471717,66.85963409663432,15.222794253502263
Deaths,Ethiopia,Both,All ages,Tuberculosis,Number,2019,30943.30097000699,36207.42543643799,26843.513372945035
Deaths,Ethiopia,Both,All ages,Measles,Number,2019,1997.2527452795487,4792.389207445949,604.3820154143762
Deaths,Bangladesh,Both,All ages,Stroke,Number,2019,168215.3744666343,204000.85119228667,139939.996590275
Deaths,Bangladesh,Both,All ages,Rheumatoid arthritis,Number,2019,692.4547443079547,1071.1051690464,446.19696474253914
Deaths,Ethiopia,Both,All ages,Stroke,Number,2019,29109.46613511695,34280.11540575533,23855.371165227036
Deaths,Ethiopia,Both,All ages,Asthma,Number,2019,3041.1604259955543,4151.841535542342,2314.00045265822
Deaths,Bangladesh,Both,All ages,Asthma,Number,2019,12764.609294136937,19749.318494463714,8171.285296488432
Deaths,Ethiopia,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Congo,Both,All ages,COVID-19,Number,2021,5473.418327921127,7037.3215023229495,3835.924258780458
