IHME-GBD_2021_DATA-9a8e9927-1
measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Global,Both,All ages,Tuberculosis,Number,2019,1199201.5614319200,1329182.5760508500,1109732.8357628100
Deaths,Global,Both,All ages,Tuberculosis,Number,2018,1225961.161890940,1334407.1447744100,1126978.2390859100
Deaths,Global,Both,All ages,Tuberculosis,Number,2020,1177979.4663522600,1314556.4320801400,1078542.4848567600
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2018,35579.523204065100,41533.20980228240,30031.645180245400
Deaths,Global,Both,All ages,Acute hepatitis,Number,2020,74615.2651101918,95370.48248218350,60369.31857414700
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2020,28870.11176323270,45392.18051446090,19897.716466763700
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2020,36646.12932205030,45461.292923272600,26866.8240171434
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2020,5596.152163637440,9458.942040558020,2427.931642746510
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2020,3502.8718612714800,6125.625808847850,1919.5758456591400
Deaths,Global,Both,All ages,Malaria,Number,2020,747416.287155353,1574751.36441287,255039.96675104200
Deaths,Global,Both,All ages,Malaria,Number,2018,672835.5588442220,1339956.5404989100,262418.85295632000
Deaths,Global,Both,All ages,Acute hepatitis,Number,2018,82160.67581408120,101889.30164324300,68048.21053592110
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2018,34754.0261759469,52009.47954604470,24792.74894885520
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2018,37929.37026609180,46003.842770697300,28350.305654663800
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2018,5855.3328285969800,10259.264187168700,2410.4216696906800
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2018,3621.9465434455300,6524.40559334878,1921.6404613733600
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2018,1533639.7381523100,1605747.0188996100,1447441.8091107900
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2020,1625602.2222279800,1722400.74520835,1513448.7154094000
Deaths,Global,Both,All ages,Malaria,Number,2019,667860.7737222210,1307147.177064180,266329.07333067300
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2020,36619.14711904510,42400.47064326750,30549.887908851400
Deaths,Global,Both,All ages,Acute hepatitis,Number,2019,78410.48552203990,99703.20277477980,64419.72475788380
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2019,31382.977970766500,48422.27914467580,22022.33508079440
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2019,37621.9911378557,46468.94996739240,27751.25005861800
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2019,5759.197917686540,9782.406093239460,2412.1887741853200
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2019,3646.3184957311600,6432.452740801970,1971.7908269736800
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2019,36249.98301941330,41979.74980408580,30144.841663650600
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2019,1590099.8825437600,1674727.0569687200,1489596.4384925500
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2018,1765255.6478455400,4621257.796188260,448270.87197834100
Deaths,Global,Both,All ages,Diabetes mellitus type 1,Number,2018,48234.33961872470,53128.25213781260,43240.92848419410
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,2018,1485405.3985335800,1557535.763251920,1399746.9826101000
Deaths,Global,Both,All ages,Alzheimer's disease and other dementias,Number,2020,1883846.6194618500,4947498.665861030,479568.2683655050
Deaths,Global,Both,All ages,Measles,Number,2019,94424.05120326560,197877.0469558330,35696.605138026700
Deaths,Global,Both,All ages,Stroke,Number,2019,7033585.363225880,7517109.574306490,6416762.424015930
Deaths,Global,Both,All ages,Asthma,Number,2019,441387.92749217800,576670.348888607,362658.4531007310
Deaths,Global,Both,All ages,COVID-19,Number,2019,0.0,0.0,0.0
Deaths,Global,Both,All ages,Measles,Number,2018,99893.3562881201,207722.59078113800,35653.9283634546
Deaths,Global,Both,All ages,Stroke,Number,2018,6905838.479531940,7367381.705380490,6371165.8612090400
Deaths,Global,Both,All ages,Asthma,Number,2018,438540.5131374100,566337.1420090300,359887.33020332000
Deaths,Global,Both,All ages,COVID-19,Number,2018,0.0,0.0,0.0
Deaths,Global,Both,All ages,Tuberculosis,Number,2017,1245687.2954124000,1346056.2763199300,1154546.1006501100
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2021,37330.34841051820,43135.53926975930,31060.30451761870
Deaths,Global,Both,All ages,Measles,Number,2020,69388.26268899220,112088.94728019700,38406.92659743560
Deaths,Global,Both,All ages,Stroke,Number,2020,7145972.30573587,7676021.909962270,6491820.651647090
Deaths,Global,Both,All ages,Asthma,Number,2020,438111.68425441000,568752.9888691390,360744.20000788600
Deaths,Global,Both,All ages,COVID-19,Number,2020,4801802.40624152,5105686.957983820,4567499.881295230
Deaths,Global,Both,All ages,Tuberculosis,Number,2021,1162795.8919709600,1313985.0465696700,1050008.015724130
