measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia,Both,All ages,Acute hepatitis A,Number,2017,575.2546894210902,724.159436723439,397.7603882616826
Deaths,East Asia,Both,All ages,Acute hepatitis B,Number,2017,2959.6981604090033,3621.4349337711906,2432.115262691256
Deaths,East Asia,Both,All ages,Acute hepatitis C,Number,2017,88.86570447679048,149.52674169816802,60.53386542968846
Deaths,East Asia,Both,All ages,Acute hepatitis E,Number,2017,141.85815413158298,266.2114265770708,76.21733738048133
Deaths,East Asia,Both,All ages,Diabetes mellitus,Number,2017,174378.40948301478,198408.04385033686,153385.0063101408
Deaths,Australasia,Both,All ages,Tuberculosis,Number,2017,77.3561304476685,83.19394551408595,68.54274472403743
Deaths,Australasia,Both,All ages,Measles,Number,2017,0.15705780990812968,0.22168793142705046,0.10586890228884817
Deaths,Australasia,Both,All ages,Stroke,Number,2017,13842.8546252231,15050.356989153719,11677.023249418611
Deaths,Australasia,Both,All ages,Asthma,Number,2017,575.6735792522762,626.4075707082985,506.8680094880266
Deaths,Central Sub-Saharan Africa,Both,All ages,Measles,Number,2017,4008.707179937856,9264.584534398458,1280.2294130767284
Deaths,Central Sub-Saharan Africa,Both,All ages,Malaria,Number,2017,90497.22578785272,163797.69853683634,40705.08258674053
Deaths,Australasia,Both,All ages,Malaria,Number,2017,0.0,0.0,0.0
Deaths,Australasia,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Central Sub-Saharan Africa,Both,All ages,Diabetes mellitus type 1,Number,2017,811.0543238067843,1058.0463855559935,620.1193821311035
Deaths,Central Sub-Saharan Africa,Both,All ages,Diabetes mellitus type 2,Number,2017,20135.582243264496,24559.8123470355,16298.245849315037
Deaths,East Asia,Both,All ages,Measles,Number,2017,5.1501542612789155,7.541588901778267,3.4132912004276403
Deaths,East Asia,Both,All ages,Malaria,Number,2017,2.5508900026557755,3.3703472802666288,1.9615859001300733
Deaths,Tropical Latin America,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Oceania,Both,All ages,Acute hepatitis,Number,2017,75.39748415326628,126.12760965001162,33.13182250575085
Deaths,Oceania,Both,All ages,Acute hepatitis A,Number,2017,33.089285098598005,66.42025181339136,13.482930626885802
Deaths,Oceania,Both,All ages,Acute hepatitis B,Number,2017,29.657007344626475,57.79416796887289,11.339865861946741
Deaths,Oceania,Both,All ages,Acute hepatitis C,Number,2017,8.011369781679308,24.730710173930344,1.335507370133361
Deaths,Oceania,Both,All ages,Acute hepatitis E,Number,2017,4.639821928362422,12.692901828968184,1.4660227947094355
Deaths,Central Sub-Saharan Africa,Both,All ages,Asthma,Number,2017,7830.533776971895,16120.351734370988,4872.628027179957
Deaths,Australasia,Both,All ages,Acute hepatitis,Number,2017,3.9546618825602637,4.5804011668157845,3.383943729042406
Deaths,Australasia,Both,All ages,Acute hepatitis A,Number,2017,0.6630636942957733,0.8445915769158445,0.5185781694086651
Deaths,Oceania,Both,All ages,Measles,Number,2017,806.955170240918,1839.3631527555103,268.8089175467415
Deaths,Oceania,Both,All ages,Malaria,Number,2017,2456.914849310655,4386.367546984049,986.8825855426068
Deaths,Southeast Asia,Both,All ages,Rheumatoid arthritis,Number,2017,928.7321444200755,1086.9210014186876,593.4895403810934
Deaths,Health System Grouping Levels,Both,All ages,Tuberculosis,Number,2017,1245008.229675598,1345343.0316380567,1153914.068837946
Deaths,East Asia,Both,All ages,Asthma,Number,2017,27929.602247426275,32435.194695614606,24092.00925335828
Deaths,Oceania,Both,All ages,Tuberculosis,Number,2017,2847.2945976241563,3444.0865210402394,2345.3567521858226
Deaths,Health System Grouping Levels,Both,All ages,Stroke,Number,2017,6777808.5334177315,7260781.676918253,6225538.494630992
Deaths,Health System Grouping Levels,Both,All ages,Rheumatoid arthritis,Number,2017,34771.708305546825,40460.1486184103,29241.29617339676
Deaths,East Asia,Both,All ages,Tuberculosis,Number,2017,54439.03751441039,63895.754953512325,46881.44635550088
Deaths,Latin America and Caribbean,Both,All ages,Tuberculosis,Number,2017,18992.54967161807,22743.505530128747,17568.61956073427
Deaths,Oceania,Both,All ages,Diabetes mellitus,Number,2017,6481.7377184662155,7621.1432027907695,5585.3155805816905
Deaths,Eastern Europe,Both,All ages,Measles,Number,2017,5.479508083791998,6.0166819073744415,5.002775866990953
Deaths,Eastern Europe,Both,All ages,Malaria,Number,2017,0.0,0.0,0.0
Deaths,Oceania,Both,All ages,Rheumatoid arthritis,Number,2017,0.08849941339383809,0.20161107646708443,0.03999295454130951
Deaths,Oceania,Both,All ages,Asthma,Number,2017,1872.568436028495,2839.1698033529296,1321.1411889015876
Deaths,Andean Latin America,Both,All ages,Tuberculosis,Number,2017,4506.277187106966,5283.141000502002,3949.5080290497567
Deaths,Western Europe,Both,All ages,Acute hepatitis,Number,2017,157.13067124894317,169.93485323576155,139.39192542356562
Deaths,Latin America and Caribbean,Both,All ages,Measles,Number,2017,0.512648069095891,0.6755608076241535,0.34653211198728073
Deaths,Health System Grouping Levels,Both,All ages,Acute hepatitis,Number,2017,86364.03967014528,106190.29516728796,72880.77867733418
Deaths,Health System Grouping Levels,Both,All ages,Acute hepatitis A,Number,2017,38520.24401873804,55487.340805465195,28139.30918587001
Deaths,Health System Grouping Levels,Both,All ages,Acute hepatitis B,Number,2017,38269.021162493045,46812.05946681373,28798.87214486943
