,Country,NumericValue,Low,High,Year
0,AFG,1612.50466,,,2022
1,AGO,14991.83384,,,2022
2,ALB,690.72336,,,2022
3,AND,1.61869,,,2022
4,ARE,517.86064,,,2022
5,ARG,250.30632,,,2022
6,ARM,185.35966,,,2022
7,ATG,5.30979,,,2022
8,AUS,960.0,,,2022
9,BDI,1531.75704,,,2022
10,BEN,1240.88867,,,2022
11,BFA,5257.65186,,,2022
12,BHR,28.80769,,,2022
13,BHS,23.21733,,,2022
14,BIH,331.20207,,,2022
15,BLR,1484.70075,,,2022
16,BLZ,17.28425,,,2022
17,BOL,64.86256,,,2022
18,BRA,2578.00283,,,2022
19,BRB,15.94895,,,2022
20,BRN,43.4372,,,2022
21,BTN,34.0,,,2022
22,BWA,1165.0073,,,2022
23,CAF,2875.62182,,,2022
24,CAN,445.0,,,2022
25,CHE,265.08758,,,2022
26,CHL,7.0,,,2022
27,CIV,11487.18307,,,2022
28,CMR,3505.13262,,,2022
29,COD,5185.49928,,,2022
30,COG,2022.27765,,,2022
31,COK,4.19367,,,2022
32,COL,54.0,,,2022
33,COM,182.10491,,,2022
34,CPV,328.8749,,,2022
35,CRI,0.0,,,2022
36,CUB,41.0,,,2022
37,DJI,100.69128,,,2022
38,DMA,4.11192,,,2022
39,DOM,749.76112,,,2022
40,DZA,2020.16848,,,2022
41,ECU,428.58347,,,2022
42,EGY,1407.0,,,2022
43,ERI,799.12208,,,2022
44,ETH,33866.86163,,,2022
45,FJI,133.10863,,,2022
46,FSM,40.11199,,,2022
47,GAB,313.8695,,,2022
48,GEO,264.65852,,,2022
49,GHA,13910.20835,,,2022
50,GIN,5520.16904,,,2022
51,GMB,400.34801,,,2022
52,GNB,998.87361,,,2022
53,GNQ,384.5383,,,2022
54,GRD,7.10354,,,2022
55,GTM,364.76382,,,2022
56,GUY,63.65187,,,2022
57,HND,77.09765,,,2022
58,HTI,526.34591,,,2022
59,IDN,60535.24936,,,2022
60,IRN,6367.03487,,,2022
61,IRQ,3370.40543,,,2022
62,ISL,7.57605,,,2022
63,ISR,645.75139,,,2022
64,JAM,395.58654,,,2022
65,JOR,623.79468,,,2022
66,JPN,3391.0,,,2022
67,KAZ,1527.80871,,,2022
68,KEN,11497.52672,,,2022
69,KGZ,1176.23148,,,2022
70,KHM,1310.0,,,2022
71,KIR,48.30372,,,2022
72,KNA,2.69411,,,2022
73,KOR,7225.26618,,,2022
74,KWT,391.37242,,,2022
75,LAO,529.0,,,2022
76,LBN,275.8471,,,2022
77,LBR,898.62184,,,2022
78,LBY,426.0,,,2022
79,LCA,10.18528,,,2022
80,LKA,1869.0,,,2022
81,LSO,1269.05806,,,2022
82,MAR,554.67312,,,2022
83,MCO,0.73953,,,2022
84,MDA,1913.47162,,,2022
85,MDG,5631.21151,,,2022
86,MDV,102.41285,,,2022
87,MEX,3927.0,,,2022
88,MHL,8.11935,,,2022
89,MKD,133.22025,,,2022
90,MLI,6252.22681,,,2022
91,MNE,40.58367,,,2022
92,MNG,676.96824,,,2022
93,MOZ,7877.6497,,,2022
94,MRT,1856.23466,,,2022
95,MUS,253.25486,,,2022
96,MWI,2539.44697,,,2022
97,MYS,109.0,,,2022
98,NAM,471.0253,,,2022
99,NER,10358.94021,,,2022
100,NGA,46143.83665,,,2022
101,NIC,322.0,,,2022
102,NIU,0.47678,,,2022
103,NOR,52.50222,,,2022
104,NPL,594.05579,,,2022
105,NRU,3.123,,,2022
106,NZL,608.92869,,,2022
107,OMN,184.89172,,,2022
108,PAK,10260.0,,,2022
109,PAN,43.9941,,,2022
110,PER,365.35836,,,2022
111,PHL,18583.0,,,2022
112,PLW,4.45104,,,2022
113,PNG,2389.94607,,,2022
114,PRY,109.10028,,,2022
115,QAT,91.07094,,,2022
116,RUS,8476.80112,,,2022
117,RWA,706.4,,,2022
118,SAU,2401.86035,,,2022
119,SDN,3299.44726,,,2022
120,SEN,4755.10016,,,2022
121,SGP,1001.5345,,,2022
122,SLB,257.52571,,,2022
123,SLE,2199.40214,,,2022
124,SLV,278.64892,,,2022
125,SMR,0.68257,,,2022
126,SOM,1141.0,,,2022
127,SRB,480.71649,,,2022
128,SSD,1962.51404,,,2022
129,STP,103.52598,,,2022
130,SUR,37.42156,,,2022
131,SWZ,601.6469,,,2022
132,SYC,20.87634,,,2022
133,SYR,2896.0,,,2022
134,TCD,8903.35827,,,2022
135,TGO,3467.57242,,,2022
136,THA,12958.0,,,2022
137,TJK,1706.32907,,,2022
138,TKM,1506.47465,,,2022
139,TLS,250.85798,,,2022
140,TON,54.1786,,,2022
141,TTO,128.00692,,,2022
142,TUN,1623.06366,,,2022
143,TUR,7043.32798,,,2022
144,TUV,4.68493,,,2022
145,TZA,8981.48739,,,2022
146,UGA,1682.85888,,,2022
147,UKR,1650.36041,,,2022
148,URY,18.0,,,2022
149,UZB,1610.72321,,,2022
150,VCT,5.88656,,,2022
151,VEN,1052.56697,,,2022
152,VNM,26725.0,,,2022
153,VUT,119.0,,,2022
154,WSM,60.41402,,,2022
155,YEM,2843.35948,,,2022
156,ZAF,25563.94205,,,2022
157,ZMB,1684.25073,,,2022
158,ZWE,7875.68118,,,2022
