,Country,NumericValue,Low,High,Year
0,AFG,1.82062,,,2022
1,AGO,7.62942,,,2022
2,ALB,6.52545,,,2022
3,AND,0.47048,,,2022
4,ARE,0.89838,,,2022
5,ARG,0.1717,,,2022
6,ARM,0.8,,,2022
7,ATG,1.57006,,,2022
8,AUS,0.71,,,2022
9,BDI,2.34542,,,2022
10,BEN,11.16,,,2022
11,BFA,4.8,,,2022
12,BHR,0.89969,,,2022
13,BHS,1.57006,,,2022
14,BIH,2.48836,,,2022
15,BLR,3.92853,,,2022
16,BLZ,1.16244,,,2022
17,BOL,0.2405,,,2022
18,BRA,0.48,,,2022
19,BRB,1.57006,,,2022
20,BRN,1.35282,,,2022
21,BTN,1.6,,,2022
22,BWA,5.56038,,,2022
23,CAF,11.54845,,,2022
24,CHE,0.70552,,,2022
25,CHL,0.12691,,,2022
26,CIV,10.0,,,2022
27,CMR,11.54845,,,2022
28,COD,2.7887,,,2022
29,COG,5.52217,,,2022
30,COK,5.75939,,,2022
31,COL,0.59327,,,2022
32,COM,5.03542,,,2022
33,CPV,10.51522,,,2022
34,CRI,2.0,,,2022
35,CUB,0.58634,,,2022
36,DEU,0.296,,,2022
37,DJI,5.51956,,,2022
38,DMA,1.56994,,,2022
39,DNK,0.248,,,2022
40,DOM,1.567,,,2022
41,DZA,1.31137,,,2022
42,ECU,0.60127,,,2022
43,EGY,1.0,,,2022
44,ERI,4.6311,,,2022
45,ETH,6.20854,,,2022
46,FJI,1.73298,,,2022
47,FRA,0.3,,,2022
48,FSM,7.29447,,,2022
49,GAB,5.2,,,2022
50,GEO,2.35682,,,2022
51,GHA,9.0,,,2022
52,GIN,9.95429,,,2022
53,GMB,2.27676,,,2022
54,GNB,12.32917,,,2022
55,GNQ,4.5992,,,2022
56,GRC,1.912,,,2022
57,GRD,1.57006,,,2022
58,GTM,0.58002,,,2022
59,GUY,2.48588,,,2022
60,HND,0.25065,,,2022
61,HTI,1.87592,,,2022
62,IDN,6.36806,,,2022
63,IRL,0.435,,,2022
64,IRN,1.49216,,,2022
65,IRQ,2.94435,,,2022
66,ISL,0.46613,,,2022
67,ISR,1.44575,,,2022
68,ITA,0.513,,,2022
69,JAM,3.79367,,,2022
70,JOR,1.76334,,,2022
71,JPN,0.76553,,,2022
72,KAZ,2.31137,,,2022
73,KEN,4.36997,,,2022
74,KGZ,5.27317,,,2022
75,KHM,2.96,,,2022
76,KIR,8.00439,,,2022
77,KNA,1.56994,,,2022
78,KOR,2.69334,,,2022
79,KWT,1.5333,,,2022
80,LAO,3.5,,,2022
81,LBN,1.30452,,,2022
82,LBR,4.309,,,2022
83,LBY,1.63123,,,2022
84,LCA,1.57006,,,2022
85,LKA,2.22412,,,2022
86,LSO,10.50892,,,2022
87,MAR,0.59705,,,2022
88,MCO,0.47048,,,2022
89,MDA,9.00712,,,2022
90,MDG,6.41,,,2022
91,MDV,5.21665,,,2022
92,MEX,0.09208,,,2022
93,MHL,4.86894,,,2022
94,MKD,1.71241,,,2022
95,MLI,13.9,,,2022
96,MNE,1.47734,,,2022
97,MNG,5.68377,,,2022
98,MOZ,6.17187,,,2022
99,MRT,9.15363,,,2022
100,MUS,5.21665,,,2022
101,MWI,2.74866,,,2022
102,MYS,1.7,,,2022
103,NAM,5.56038,,,2022
104,NER,10.07415,,,2022
105,NGA,6.58218,,,2022
106,NIC,0.74323,,,2022
107,NIU,5.75939,,,2022
108,NLD,0.277,,,2022
109,NOR,0.30133,,,2022
110,NPL,1.17619,,,2022
111,NRU,5.75939,,,2022
112,OMN,2.45522,,,2022
113,PAK,1.60983,,,2022
114,PAN,0.29787,,,2022
115,PER,0.43141,,,2022
116,PHL,4.9,,,2022
117,PLW,5.75939,,,2022
118,PNG,5.84732,,,2022
119,POL,0.586,,,2022
120,PRT,0.401,,,2022
121,PRY,0.50015,,,2022
122,QAT,1.11905,,,2022
123,ROU,5.055,,,2022
124,RUS,1.14084,,,2022
125,RWA,1.6,,,2022
126,SAU,0.81,,,2022
127,SDN,4.30852,,,2022
128,SEN,5.29801,,,2022
129,SGP,2.18408,,,2022
130,SLB,8.28726,,,2022
131,SLE,13.5,,,2022
132,SLV,0.87498,,,2022
133,SMR,0.47048,,,2022
134,SOM,5.17067,,,2022
135,SRB,1.64443,,,2022
136,SSD,9.9,,,2022
137,STP,9.26788,,,2022
138,SUR,1.84493,,,2022
139,SWZ,8.67868,,,2022
140,SYC,5.21665,,,2022
141,SYR,1.7,,,2022
142,TCD,9.52185,,,2022
143,TGO,9.42149,,,2022
144,THA,2.56344,,,2022
145,TJK,5.35258,,,2022
146,TKM,8.23287,,,2022
147,TLS,9.10982,,,2022
148,TON,8.96668,,,2022
149,TTO,1.88889,,,2022
150,TUN,3.56796,,,2022
151,TUR,2.32462,,,2022
152,TUV,7.8392,,,2022
153,TZA,2.83308,,,2022
154,UGA,2.4,,,2022
155,UKR,1.27364,,,2022
156,URY,5.0,,,2022
157,UZB,2.06178,,,2022
158,VCT,1.57006,,,2022
159,VEN,1.26794,,,2022
160,VNM,7.2,,,2022
161,VUT,7.3,,,2022
162,WSM,4.3374,,,2022
163,YEM,2.81506,,,2022
164,ZAF,4.57691,,,2022
165,ZMB,1.81361,,,2022
166,ZWE,7.72604,,,2022
