,Country,NumericValue,Low,High,Year
0,AFG,783.66355,,,2022
1,AGO,1131.96616,,,2022
2,ALB,102.23557,,,2022
3,AND,2.02559,,,2022
4,ARE,396.1663,,,2022
5,ARG,2526.26507,,,2022
6,ARM,318.64041,,,2022
7,ATG,3.66938,,,2022
8,AUS,505.0,,,2022
9,BDI,1535.87976,,,2022
10,BEN,622.30787,,,2022
11,BFA,605.04483,,,2022
12,BHR,60.74135,,,2022
13,BHS,16.04458,,,2022
14,BIH,116.30684,,,2022
15,BLR,645.04427,,,2022
16,BLZ,15.86017,,,2022
17,BOL,111.12852,,,2022
18,BRA,2976.68301,,,2022
19,BRB,11.02168,,,2022
20,BRN,26.2471,,,2022
21,BTN,9.0,,,2022
22,BWA,93.87245,,,2022
23,CAF,99.73109,,,2022
24,CAN,2692.0,,,2022
25,CHE,174.96914,,,2022
26,CHL,14.0,,,2022
27,CIV,891.5222,,,2022
28,CMR,1031.67216,,,2022
29,COD,2643.46874,,,2022
30,COG,189.89914,,,2022
31,COK,0.56732,,,2022
32,COL,27.0,,,2022
33,COM,20.51828,,,2022
34,CPV,18.77824,,,2022
35,CRI,0.0,,,2022
36,CUB,86.0,,,2022
37,DJI,27.98453,,,2022
38,DMA,3.10643,,,2022
39,DOM,377.47478,,,2022
40,DZA,1802.13705,,,2022
41,ECU,163.64581,,,2022
42,EGY,7288.0,,,2022
43,ERI,90.33504,,,2022
44,ETH,3464.85074,,,2022
45,FJI,3.29475,,,2022
46,FSM,4.8009,,,2022
47,GAB,659.45952,,,2022
48,GBR,396.62815,,,2022
49,GEO,183.3685,,,2022
50,GHA,1659.25482,,,2022
51,GIN,438.76677,,,2022
52,GMB,85.38068,,,2022
53,GNB,66.65919,,,2022
54,GNQ,53.2732,,,2022
55,GRD,4.90897,,,2022
56,GTM,589.57842,,,2022
57,GUY,31.6492,,,2022
58,HND,344.71087,,,2022
59,HTI,453.37467,,,2022
60,IDN,6322.33417,,,2022
61,IRN,360.88161,,,2022
62,IRQ,315.62956,,,2022
63,ISL,0.01698,,,2022
64,ISR,339.99663,,,2022
65,JAM,110.64839,,,2022
66,JOR,100.42752,,,2022
67,JPN,10599.0,,,2022
68,KAZ,1243.14967,,,2022
69,KEN,1172.28979,,,2022
70,KGZ,604.74039,,,2022
71,KHM,1034.0,,,2022
72,KIR,5.51866,,,2022
73,KNA,2.03532,,,2022
74,KOR,931.06545,,,2022
75,KWT,77.9505,,,2022
76,LAO,210.0,,,2022
77,LBN,25.12062,,,2022
78,LBR,167.87524,,,2022
79,LBY,151.0,,,2022
80,LCA,7.03864,,,2022
81,LKA,610.0,,,2022
82,LSO,82.29243,,,2022
83,MAR,564.66573,,,2022
84,MCO,0.92543,,,2022
85,MDA,221.41977,,,2022
86,MDG,798.69642,,,2022
87,MDV,14.633,,,2022
88,MEX,11851.0,,,2022
89,MHL,1.38633,,,2022
90,MKD,75.30475,,,2022
91,MLI,715.28052,,,2022
92,MNE,22.55554,,,2022
93,MNG,762.85072,,,2022
94,MOZ,937.50884,,,2022
95,MRT,149.93934,,,2022
96,MUS,36.41391,,,2022
97,MWI,500.35265,,,2022
98,MYS,713.49335,,,2022
99,NAM,92.13208,,,2022
100,NER,829.7068,,,2022
101,NGA,5652.32908,,,2022
102,NIC,229.58099,,,2022
103,NIU,0.0645,,,2022
104,NOR,1.59528,,,2022
105,NPL,331.28525,,,2022
106,NRU,0.42248,,,2022
107,NZL,275.96383,,,2022
108,OMN,47.94792,,,2022
109,PAK,50000.0,,,2022
110,PAN,71.2044,,,2022
111,PER,309.54238,,,2022
112,PHL,3001.0,,,2022
113,PLW,0.60214,,,2022
114,PNG,462.32893,,,2022
115,PRY,93.74296,,,2022
116,QAT,84.4892,,,2022
117,RUS,4926.56918,,,2022
118,RWA,176.6,,,2022
119,SAU,291.96621,,,2022
120,SDN,875.43884,,,2022
121,SEN,548.21383,,,2022
122,SGP,376.30647,,,2022
123,SLB,30.45764,,,2022
124,SLE,272.44464,,,2022
125,SLV,93.94074,,,2022
126,SMR,0.85415,,,2022
127,SOM,439.0,,,2022
128,SRB,259.74559,,,2022
129,SSD,267.59842,,,2022
130,STP,7.19852,,,2022
131,SUR,24.18677,,,2022
132,SWZ,42.88632,,,2022
133,SYC,3.00168,,,2022
134,SYR,1119.0,,,2022
135,TCD,829.81551,,,2022
136,TGO,280.13706,,,2022
137,THA,2123.0,,,2022
138,TJK,848.23839,,,2022
139,TKM,374.67034,,,2022
140,TLS,37.47168,,,2022
141,TON,4.49367,,,2022
142,TTO,59.91686,,,2022
143,TUN,208.58858,,,2022
144,TUR,1392.06716,,,2022
145,TUV,0.37726,,,2022
146,TZA,346.71656,,,2022
147,UGA,722.83023,,,2022
148,UKR,6731.95535,,,2022
149,URY,152.0,,,2022
150,UZB,1492.06778,,,2022
151,VCT,4.06797,,,2022
152,VEN,1159.08987,,,2022
153,VNM,3894.0,,,2022
154,VUT,14.0,,,2022
155,WSM,9.35176,,,2022
156,YEM,1361.3784,,,2022
157,ZAF,2137.54862,,,2022
158,ZMB,490.84739,,,2022
159,ZWE,582.46249,,,2022
