,Country,NumericValue,Low,High,Year
0,AFG,0.23757,,,2022
1,AGO,0.49872,,,2022
2,ALB,0.93138,,,2022
3,AND,0.30179,,,2022
4,ARE,1.53545,,,2022
5,ARG,0.66093,,,2022
6,ARM,0.7,,,2022
7,ATG,0.62743,,,2022
8,AUS,0.40737,,,2022
9,AUT,0.342,,,2022
10,BDI,3.31731,,,2022
11,BEL,0.139,,,2022
12,BEN,0.89858,,,2022
13,BFA,1.24611,,,2022
14,BGR,0.915,,,2022
15,BHR,1.08151,,,2022
16,BHS,0.62743,,,2022
17,BIH,0.55399,,,2022
18,BLR,2.12478,,,2022
19,BLZ,0.62743,,,2022
20,BOL,0.33279,,,2022
21,BRA,0.3,,,2022
22,BRB,0.62743,,,2022
23,BRN,0.32736,,,2022
24,BTN,0.23241,,,2022
25,BWA,0.42182,,,2022
26,CAF,0.27305,,,2022
27,CAN,0.33801,,,2022
28,CHE,0.35561,,,2022
29,CHL,0.16446,,,2022
30,CIV,0.74957,,,2022
31,CMR,0.59646,,,2022
32,COD,0.42293,,,2022
33,COG,0.51492,,,2022
34,COK,0.9974,,,2022
35,COL,0.60417,,,2022
36,COM,0.66622,,,2022
37,CPV,0.74957,,,2022
38,CRI,0.54518,,,2022
39,CUB,0.47853,,,2022
40,CYP,0.15,,,2022
41,CZE,0.635,,,2022
42,DEU,0.236,,,2022
43,DJI,0.66622,,,2022
44,DMA,0.62743,,,2022
45,DNK,0.17,,,2022
46,DOM,0.58205,,,2022
47,DZA,0.63262,,,2022
48,ECU,0.63834,,,2022
49,EGY,0.44429,,,2022
50,ERI,0.66622,,,2022
51,ESP,0.115,,,2022
52,EST,0.933,,,2022
53,ETH,0.54686,,,2022
54,FIN,0.462,,,2022
55,FJI,0.07704,,,2022
56,FRA,0.3,,,2022
57,FSM,0.9974,,,2022
58,GAB,4.32757,,,2022
59,GBR,0.17,,,2022
60,GEO,2.25944,,,2022
61,GHA,1.31308,,,2022
62,GIN,0.74957,,,2022
63,GMB,0.67401,,,2022
64,GNB,0.74957,,,2022
65,GNQ,0.51492,,,2022
66,GRC,0.442,,,2022
67,GRD,0.62743,,,2022
68,GTM,0.54518,,,2022
69,GUY,0.62743,,,2022
70,HND,0.54518,,,2022
71,HRV,0.518,,,2022
72,HTI,0.62743,,,2022
73,HUN,0.186,,,2022
74,IDN,0.50032,,,2022
75,IRL,0.155,,,2022
76,IRN,0.23843,,,2022
77,IRQ,0.33834,,,2022
78,ISL,0.074,,,2022
79,ISR,0.65024,,,2022
80,ITA,0.675,,,2022
81,JAM,0.62743,,,2022
82,JOR,0.23383,,,2022
83,JPN,0.36348,,,2022
84,KAZ,2.01938,,,2022
85,KEN,0.86641,,,2022
86,KGZ,2.51492,,,2022
87,KHM,1.2,,,2022
88,KIR,0.96,,,2022
89,KNA,0.62743,,,2022
90,KOR,0.17171,,,2022
91,KWT,0.48127,,,2022
92,LAO,0.55325,,,2022
93,LBN,0.11499,,,2022
94,LBR,0.74957,,,2022
95,LBY,1.44158,,,2022
96,LCA,0.62743,,,2022
97,LKA,0.55325,,,2022
98,LSO,0.42182,,,2022
99,LTU,0.799,,,2022
100,LUX,0.193,,,2022
101,LVA,1.599,,,2022
102,MAR,0.3346,,,2022
103,MCO,0.30179,,,2022
104,MDA,2.12478,,,2022
105,MDG,0.38689,,,2022
106,MDV,0.55325,,,2022
107,MEX,0.53641,,,2022
108,MHL,0.9974,,,2022
109,MKD,0.55399,,,2022
110,MLI,0.74957,,,2022
111,MLT,0.133,,,2022
112,MNE,0.55399,,,2022
113,MNG,3.72773,,,2022
114,MOZ,0.74037,,,2022
115,MRT,0.74957,,,2022
116,MUS,0.55325,,,2022
117,MWI,0.66622,,,2022
118,MYS,0.2,,,2022
119,NAM,0.42182,,,2022
120,NER,0.73011,,,2022
121,NGA,0.60278,,,2022
122,NIC,0.54518,,,2022
123,NIU,0.9974,,,2022
124,NLD,0.035,,,2022
125,NOR,0.169,,,2022
126,NPL,0.36962,,,2022
127,NRU,0.9974,,,2022
128,NZL,0.35703,,,2022
129,OMN,0.34366,,,2022
130,PAK,4.14069,,,2022
131,PAN,0.32241,,,2022
132,PER,0.17126,,,2022
133,PHL,0.3703,,,2022
134,PLW,0.9974,,,2022
135,PNG,1.08054,,,2022
136,POL,0.287,,,2022
137,PRT,0.386,,,2022
138,PRY,0.25717,,,2022
139,QAT,1.53154,,,2022
140,ROU,0.719,,,2022
141,RUS,1.85401,,,2022
142,RWA,0.48,,,2022
143,SAU,0.0874,,,2022
144,SDN,1.06225,,,2022
145,SEN,0.74957,,,2022
146,SGP,0.30676,,,2022
147,SLB,0.98499,,,2022
148,SLE,0.74957,,,2022
149,SLV,0.23755,,,2022
150,SMR,0.30179,,,2022
151,SOM,0.66622,,,2022
152,SRB,0.55399,,,2022
153,SSD,0.66622,,,2022
154,STP,0.74957,,,2022
155,SUR,0.62743,,,2022
156,SVK,0.504,,,2022
157,SVN,0.051,,,2022
158,SWE,0.122,,,2022
159,SWZ,0.42182,,,2022
160,SYC,0.55325,,,2022
161,SYR,1.31011,,,2022
162,TCD,0.8055,,,2022
163,TGO,0.74957,,,2022
164,THA,0.52259,,,2022
165,TJK,2.56801,,,2022
166,TKM,2.5308,,,2022
167,TLS,0.55325,,,2022
168,TON,0.9974,,,2022
169,TTO,0.62743,,,2022
170,TUN,0.36424,,,2022
171,TUR,0.2661,,,2022
172,TUV,0.9974,,,2022
173,TZA,0.15067,,,2022
174,UGA,0.74913,,,2022
175,UKR,3.40378,,,2022
176,URY,0.51146,,,2022
177,UZB,3.01884,,,2022
178,VCT,0.62743,,,2022
179,VEN,0.58015,,,2022
180,VNM,0.92147,,,2022
181,VUT,1.03541,,,2022
182,WSM,0.9974,,,2022
183,YEM,0.77479,,,2022
184,ZAF,0.40384,,,2022
185,ZMB,0.66622,,,2022
186,ZWE,0.42182,,,2022
