,Country,NumericValue,Low,High,Year
0,AFG,798871.0,608000.0,1022000.0,2017
1,AFR,218442674.0,201000000.0,238000000.0,2017
2,AGO,6312055.0,4902000.0,8010000.0,2017
3,AMR,946216.0,878000.0,1032000.0,2017
4,ARE,0.0,,,2017
5,ARG,0.0,,,2017
6,ARM,0.0,,,2017
7,AZE,0.0,,,2017
8,BDI,2794830.0,2050000.0,3720000.0,2017
9,BEN,4876484.0,3919000.0,5953000.0,2017
10,BFA,7093584.0,4906000.0,10000000.0,2017
11,BGD,33331.0,30000.0,37000.0,2017
12,BLZ,7.0,,,2017
13,BOL,6195.0,4800.0,7600.0,2017
14,BRA,220913.0,198000.0,239000.0,2017
15,BTN,11.0,,,2017
16,BWA,2933.0,2300.0,4000.0,2017
17,CAF,1642425.0,868000.0,2845000.0,2017
18,CHN,0.0,,,2017
19,CIV,6229084.0,3611000.0,9899000.0,2017
20,CMR,6151314.0,4720000.0,7931000.0,2017
21,COD,25976981.0,20050000.0,33100000.0,2017
22,COG,1238519.0,739000.0,1975000.0,2017
23,COL,80963.0,60000.0,104000.0,2017
24,COM,3230.0,,,2017
25,CPV,423.0,,,2017
26,CRI,12.0,,,2017
27,DJI,14671.0,,,2017
28,DOM,420.0,360.0,490.0,2017
29,DZA,0.0,,,2017
30,ECU,1275.0,,,2017
31,EMR,5388975.0,4100000.0,7300000.0,2017
32,ERI,115928.0,74000.0,161000.0,2017
33,ETH,6600689.0,2511000.0,13700000.0,2017
34,EUR,0.0,,,2017
35,GAB,488279.0,245000.0,879000.0,2017
36,GEO,0.0,,,2017
37,GHA,5991625.0,4475000.0,7808000.0,2017
38,GIN,4377224.0,3058000.0,6041000.0,2017
39,GLOBAL,236597200.0,219000000.0,257000000.0,2017
40,GMB,148057.0,110000.0,189000.0,2017
41,GNB,122291.0,41000.0,294000.0,2017
42,GNQ,380328.0,223000.0,608000.0,2017
43,GTM,4832.0,4300.0,5600.0,2017
44,GUF,685.0,610.0,790.0,2017
45,GUY,25167.0,19000.0,34000.0,2017
46,HND,1716.0,1300.0,2100.0,2017
47,HTI,33122.0,22000.0,45000.0,2017
48,IDN,744237.0,681000.0,816000.0,2017
49,IND,9333319.0,6853000.0,13220000.0,2017
50,IRN,57.0,,,2017
51,IRQ,0.0,,,2017
52,KAZ,0.0,0.0,0.0,2017
53,KEN,3155636.0,2217000.0,4375000.0,2017
54,KGZ,0.0,,,2017
55,KHM,202696.0,175000.0,237000.0,2017
