,Country,NumericValue,Low,High,Year
0,AFG,378.0,160.0,640.0,2017
1,AFR,555248.0,522000.0,619000.0,2017
2,AGO,14080.0,9740.0,21000.0,2017
3,AMR,665.0,452.0,902.0,2017
4,ARE,0.0,,,2017
5,ARG,0.0,,,2017
6,ARM,0.0,,,2017
7,AZE,0.0,,,2017
8,BDI,6125.0,5230.0,7390.0,2017
9,BEN,10854.0,9790.0,12000.0,2017
10,BFA,20228.0,16200.0,25500.0,2017
11,BGD,73.0,34.0,110.0,2017
12,BLZ,0.0,,,2017
13,BOL,2.0,0.0,4.0,2017
14,BRA,34.0,,,2017
15,BTN,0.0,,,2017
16,BWA,7.0,3.0,13.0,2017
17,CAF,5533.0,3680.0,8740.0,2017
18,CHN,0.0,,,2017
19,CIV,18079.0,15400.0,21100.0,2017
20,CMR,13736.0,12400.0,15200.0,2017
21,COD,67810.0,49500.0,92300.0,2017
22,COG,2215.0,1940.0,2640.0,2017
23,COL,19.0,,,2017
24,COM,8.0,3.0,12.0,2017
25,CPV,2.0,,,2017
26,CRI,0.0,,,2017
27,DJI,25.0,12.0,38.0,2017
28,DOM,1.0,,,2017
29,DZA,0.0,,,2017
30,ECU,0.0,,,2017
31,EMR,10243.0,6000.0,16800.0,2017
32,ERI,221.0,90.0,400.0,2017
33,ETH,12460.0,3420.0,30400.0,2017
34,EUR,0.0,,,2017
35,GAB,383.0,330.0,460.0,2017
36,GEO,0.0,,,2017
37,GHA,11839.0,11300.0,12500.0,2017
38,GIN,9277.0,8330.0,10400.0,2017
39,GLOBAL,587091.0,553000.0,654000.0,2017
40,GMB,577.0,550.0,600.0,2017
41,GNB,829.0,720.0,980.0,2017
42,GNQ,756.0,610.0,980.0,2017
43,GTM,1.0,0.0,3.0,2017
44,GUY,34.0,16.0,58.0,2017
45,HND,0.0,0.0,1.0,2017
46,HTI,84.0,34.0,160.0,2017
47,IDN,1306.0,650.0,1990.0,2017
48,IND,16285.0,7480.0,28500.0,2017
49,IRN,0.0,,,2017
50,IRQ,0.0,,,2017
51,KAZ,0.0,0.0,0.0,2017
52,KEN,11223.0,10600.0,12100.0,2017
53,KGZ,0.0,,,2017
54,KHM,336.0,160.0,520.0,2017
55,KOR,0.0,,,2017
56,LAO,21.0,9.0,36.0,2017
57,LBR,4046.0,3540.0,4690.0,2017
58,LKA,0.0,,,2017
59,MAR,0.0,,,2017
60,MDG,4873.0,2060.0,8610.0,2017
61,MEX,0.0,,,2017
62,MLI,15442.0,13300.0,17900.0,2017
63,MMR,209.0,99.0,340.0,2017
64,MOZ,21403.0,17000.0,28100.0,2017
65,MRT,1069.0,920.0,1340.0,2017
66,MWI,7024.0,6350.0,7850.0,2017
67,MYS,1.0,,,2017
68,MYT,0.0,0.0,0.0,2017
69,NAM,228.0,100.0,380.0,2017
70,NER,23815.0,17100.0,33400.0,2017
71,NGA,176539.0,150000.0,212000.0,2017
72,NIC,1.0,,,2017
73,NPL,0.0,0.0,1.0,2017
74,OMN,0.0,,,2017
75,PAK,641.0,320.0,1180.0,2017
76,PAN,0.0,,,2017
77,PER,64.0,32.0,100.0,2017
78,PHL,36.0,15.0,66.0,2017
79,PNG,2510.0,1040.0,4570.0,2017
80,PRK,0.0,,,2017
81,PRY,0.0,,,2017
82,RWA,3086.0,2950.0,3270.0,2017
83,SAU,0.0,,,2017
84,SDN,5213.0,1810.0,11300.0,2017
85,SEAR,17888.0,9000.0,30000.0,2017
86,SEN,3987.0,3870.0,4130.0,2017
87,SLB,134.0,66.0,230.0,2017
88,SLE,8760.0,7830.0,9790.0,2017
89,SLV,0.0,,,2017
90,SOM,2100.0,830.0,3900.0,2017
91,SSD,7134.0,4690.0,10900.0,2017
92,STP,1.0,,,2017
93,SUR,1.0,,,2017
94,SWZ,1.0,0.0,1.0,2017
95,SYR,0.0,,,2017
96,TCD,11657.0,10000.0,13700.0,2017
97,TGO,3793.0,3390.0,4260.0,2017
98,THA,15.0,,,2017
99,TJK,0.0,,,2017
100,TKM,0.0,,,2017
101,TLS,0.0,,,2017
102,TUR,0.0,,,2017
103,TZA,23852.0,22100.0,26100.0,2017
104,UGA,20560.0,18500.0,23200.0,2017
105,UZB,0.0,,,2017
106,VEN,424.0,220.0,640.0,2017
107,VNM,9.0,4.0,14.0,2017
108,VUT,0.0,,,2017
109,WPR,3047.0,1500.0,5100.0,2017
110,YEM,1886.0,810.0,3480.0,2017
111,ZAF,301.0,,,2017
112,ZMB,8011.0,7510.0,8610.0,2017
113,ZWE,3424.0,1300.0,6530.0,2017
114,AFG,292.0,130.0,490.0,2018
115,AFR,541171.0,508000.0,614000.0,2018
116,AGO,13624.0,9520.0,20500.0,2018
117,AMR,572.0,391.0,773.0,2018
118,ARE,0.0,,,2018
119,ARG,0.0,,,2018
120,ARM,0.0,,,2018
121,AZE,0.0,,,2018
122,BDI,5299.0,4600.0,6320.0,2018
123,BEN,10428.0,9320.0,11700.0,2018
124,BFA,18482.0,14500.0,24100.0,2018
125,BGD,26.0,12.0,42.0,2018
126,BLZ,0.0,,,2018
127,BOL,2.0,0.0,4.0,2018
128,BRA,56.0,,,2018
129,BTN,0.0,,,2018
130,BWA,2.0,0.0,3.0,2018
131,CAF,5397.0,3520.0,8770.0,2018
132,CHN,0.0,,,2018
133,CIV,15035.0,12600.0,17800.0,2018
134,CMR,12898.0,11500.0,14500.0,2018
135,COD,65576.0,46800.0,92200.0,2018
136,COG,2227.0,1940.0,2680.0,2018
137,COL,9.0,,,2018
138,COM,38.0,17.0,59.0,2018
139,CPV,0.0,,,2018
140,CRI,0.0,,,2018
141,DJI,43.0,21.0,65.0,2018
142,DOM,1.0,,,2018
143,DZA,0.0,,,2018
144,ECU,0.0,,,2018
145,EMR,11137.0,6300.0,18700.0,2018
146,ERI,196.0,79.0,360.0,2018
147,ETH,6500.0,2330.0,12800.0,2018
148,EUR,0.0,,,2018
149,GAB,387.0,330.0,470.0,2018
150,GEO,0.0,,,2018
151,GHA,12227.0,11600.0,13000.0,2018
152,GIN,8500.0,7590.0,9630.0,2018
153,GLOBAL,566857.0,532000.0,642000.0,2018
154,GMB,596.0,570.0,630.0,2018
155,GNB,880.0,760.0,1060.0,2018
156,GNQ,724.0,590.0,940.0,2018
157,GTM,1.0,0.0,2.0,2018
158,GUY,39.0,18.0,67.0,2018
159,HND,0.0,,,2018
160,HTI,40.0,16.0,75.0,2018
161,IDN,1142.0,570.0,1730.0,2018
162,IND,9630.0,4430.0,16800.0,2018
