,Country,NumericValue,Low,High,Year
0,AFG,189.0,122.0,270.0,2017
1,AFR,243.0,214.0,274.0,2017
2,AGO,359.0,230.0,516.0,2017
3,ALB,20.0,17.0,24.0,2017
4,AMR,28.0,26.0,30.0,2017
5,AND,1.6,1.3,1.8,2017
6,ARE,0.82,0.7,0.95,2017
7,ARG,27.0,23.0,30.0,2017
8,ARM,36.0,25.0,49.0,2017
9,ATG,1.3,1.1,1.5,2017
10,AUS,6.7,5.7,7.7,2017
11,AUT,7.3,6.3,8.5,2017
12,AZE,66.0,49.0,86.0,2017
13,BDI,114.0,72.0,167.0,2017
14,BEL,9.3,7.9,11.0,2017
15,BEN,58.0,37.0,84.0,2017
16,BFA,49.0,31.0,72.0,2017
17,BGD,221.0,161.0,291.0,2017
18,BGR,25.0,19.0,31.0,2017
19,BHR,12.0,10.0,13.0,2017
20,BHS,15.0,13.0,17.0,2017
21,BIH,29.0,22.0,37.0,2017
22,BLR,37.0,26.0,49.0,2017
23,BLZ,36.0,29.0,43.0,2017
24,BOL,111.0,71.0,160.0,2017
25,BRA,44.0,38.0,51.0,2017
26,BRB,0.0,0.0,0.0,2017
27,BRN,63.0,54.0,73.0,2017
28,BTN,143.0,110.0,181.0,2017
29,BWA,300.0,220.0,391.0,2017
30,CAF,540.0,349.0,771.0,2017
31,CAN,5.6,4.8,6.5,2017
32,CHE,7.2,6.2,8.3,2017
33,CHL,17.0,15.0,20.0,2017
34,CHN,62.0,53.0,73.0,2017
35,CIV,148.0,92.0,217.0,2017
36,CMR,194.0,120.0,286.0,2017
37,COD,322.0,208.0,461.0,2017
38,COG,376.0,238.0,546.0,2017
39,COK,0.0,0.0,0.0,2017
40,COL,33.0,26.0,41.0,2017
41,COM,35.0,22.0,49.0,2017
42,CPV,61.0,46.0,77.0,2017
43,CRI,9.6,7.4,12.0,2017
44,CUB,7.2,6.1,8.5,2017
45,CYP,4.8,4.1,5.5,2017
46,CZE,5.4,4.7,6.3,2017
47,DEU,7.1,6.4,7.8,2017
48,DJI,244.0,187.0,308.0,2017
49,DMA,1.6,1.6,1.6,2017
50,DNK,5.0,4.3,5.8,2017
51,DOM,46.0,34.0,59.0,2017
52,DZA,70.0,51.0,91.0,2017
53,ECU,43.0,33.0,53.0,2017
54,EGY,13.0,11.0,15.0,2017
55,EMR,116.0,91.0,145.0,2017
56,ERI,99.0,39.0,185.0,2017
57,ESP,11.0,9.2,12.0,2017
58,EST,15.0,13.0,17.0,2017
59,ETH,164.0,108.0,231.0,2017
60,EUR,30.0,25.0,35.0,2017
61,FIN,4.9,4.2,5.6,2017
62,FJI,51.0,42.0,61.0,2017
63,FRA,9.0,7.9,10.0,2017
64,FSM,159.0,122.0,201.0,2017
65,GAB,529.0,340.0,759.0,2017
66,GBR,8.9,8.0,9.8,2017
67,GEO,86.0,70.0,103.0,2017
68,GHA,152.0,70.0,264.0,2017
69,GIN,176.0,114.0,252.0,2017
70,GLOBAL,138.0,130.0,147.0,2017
71,GMB,166.0,122.0,218.0,2017
72,GNB,361.0,234.0,516.0,2017
73,GNQ,286.0,185.0,409.0,2017
74,GRC,4.6,4.0,5.4,2017
75,GRD,3.1,2.7,3.6,2017
76,GTM,25.0,20.0,32.0,2017
77,GUY,85.0,65.0,108.0,2017
78,HKG,67.0,57.0,77.0,2017
79,HND,37.0,27.0,49.0,2017
80,HRV,10.0,8.8,12.0,2017
81,HTI,181.0,136.0,233.0,2017
82,HUN,7.6,6.5,8.8,2017
83,IDN,319.0,290.0,349.0,2017
84,IND,217.0,192.0,242.0,2017
85,IRL,7.2,6.2,8.3,2017
86,IRN,14.0,10.0,18.0,2017
87,IRQ,33.0,28.0,38.0,2017
88,ISL,4.4,3.7,5.0,2017
89,ISR,3.2,2.8,3.7,2017
90,ITA,7.3,6.2,8.4,2017
91,JAM,5.2,3.3,7.5,2017
92,JOR,6.7,4.8,8.9,2017
93,JPN,15.0,13.0,18.0,2017
94,KAZ,69.0,44.0,98.0,2017
95,KEN,319.0,175.0,505.0,2017
96,KGZ,124.0,104.0,146.0,2017
97,KHM,329.0,198.0,492.0,2017
98,KIR,400.0,306.0,506.0,2017
99,KNA,2.4,2.1,2.8,2017
100,KOR,70.0,65.0,74.0,2017
101,KWT,27.0,23.0,32.0,2017
102,LAO,168.0,105.0,247.0,2017
103,LBN,12.0,9.9,13.0,2017
104,LBR,308.0,199.0,440.0,2017
105,LBY,40.0,30.0,52.0,2017
106,LCA,7.2,6.1,8.3,2017
107,LKA,64.0,47.0,84.0,2017
108,LSO,681.0,413.0,1010.0,2017
109,LTU,52.0,44.0,60.0,2017
110,LUX,6.2,5.3,7.1,2017
111,LVA,32.0,28.0,37.0,2017
112,MAC,67.0,58.0,78.0,2017
113,MAR,100.0,85.0,116.0,2017
114,MCO,0.0,0.0,0.0,2017
115,MDA,95.0,79.0,113.0,2017
116,MDG,233.0,151.0,333.0,2017
117,MDV,34.0,27.0,43.0,2017
118,MEX,23.0,18.0,29.0,2017
119,MHL,548.0,420.0,693.0,2017
120,MKD,13.0,9.7,17.0,2017
121,MLI,55.0,35.0,78.0,2017
122,MLT,10.0,8.8,12.0,2017
123,MMR,355.0,219.0,522.0,2017
124,MNE,14.0,12.0,16.0,2017
125,MNG,428.0,220.0,703.0,2017
126,MOZ,361.0,223.0,532.0,2017
127,MRT,97.0,60.0,143.0,2017
128,MUS,12.0,8.9,15.0,2017
129,MWI,162.0,80.0,272.0,2017
130,MYS,94.0,80.0,109.0,2017
131,NAM,565.0,381.0,784.0,2017
132,NER,90.0,56.0,131.0,2017
133,NGA,219.0,143.0,311.0,2017
134,NIC,44.0,34.0,56.0,2017
135,NIU,0.0,0.0,0.0,2017
136,NLD,5.2,4.4,6.0,2017
137,NOR,5.2,4.4,6.0,2017
138,NPL,253.0,148.0,384.0,2017
139,NRU,91.0,78.0,106.0,2017
140,NZL,7.2,6.2,8.3,2017
141,OMN,6.8,5.9,7.9,2017
142,PAK,267.0,188.0,359.0,2017
143,PAN,57.0,44.0,72.0,2017
144,PER,119.0,91.0,150.0,2017
145,PHL,554.0,311.0,866.0,2017
146,PLW,129.0,110.0,149.0,2017
147,PNG,432.0,352.0,521.0,2017
148,POL,17.0,14.0,19.0,2017
149,PRI,1.3,1.1,1.5,2017
150,PRK,513.0,446.0,584.0,2017
151,PRT,20.0,17.0,23.0,2017
152,PRY,43.0,37.0,49.0,2017
153,PSE,0.76,0.59,0.97,2017
154,QAT,26.0,22.0,30.0,2017
155,ROU,72.0,62.0,83.0,2017
156,RUS,59.0,35.0,89.0,2017
157,RWA,58.0,44.0,74.0,2017
158,SAU,10.0,9.2,11.0,2017
159,SDN,77.0,50.0,109.0,2017
160,SEAR,235.0,217.0,254.0,2017
161,SEN,120.0,84.0,161.0,2017
162,SGP,48.0,41.0,55.0,2017
163,SLB,68.0,52.0,86.0,2017
164,SLE,301.0,191.0,434.0,2017
165,SLV,74.0,56.0,93.0,2017
166,SMR,0.0,0.0,0.0,2017
167,SOM,266.0,169.0,383.0,2017
168,SRB,19.0,15.0,23.0,2017
169,SSD,227.0,147.0,324.0,2017
170,STP,117.0,45.0,222.0,2017
171,SUR,28.0,22.0,36.0,2017
172,SVK,4.8,4.1,5.6,2017
173,SVN,6.2,5.3,7.2,2017
174,SWE,5.6,4.8,6.4,2017
175,SWZ,502.0,257.0,828.0,2017
176,SYC,16.0,14.0,19.0,2017
177,SYR,20.0,15.0,26.0,2017
178,TCD,143.0,92.0,205.0,2017
179,TGO,41.0,32.0,50.0,2017
180,THA,156.0,117.0,201.0,2017
181,TJK,85.0,65.0,107.0,2017
182,TKM,43.0,33.0,54.0,2017
183,TLS,498.0,322.0,712.0,2017
184,TON,12.0,10.0,14.0,2017
185,TTO,16.0,14.0,18.0,2017
186,TUN,34.0,26.0,43.0,2017
187,TUR,17.0,14.0,20.0,2017
188,TUV,233.0,206.0,261.0,2017
189,TZA,269.0,112.0,494.0,2017
190,UGA,201.0,118.0,306.0,2017
191,UKR,84.0,52.0,123.0,2017
192,URY,32.0,27.0,37.0,2017
193,USA,3.0,2.6,3.5,2017
194,UZB,73.0,49.0,102.0,2017
195,VCT,2.1,1.9,2.3,2017
196,VEN,45.0,35.0,57.0,2017
197,VNM,188.0,115.0,278.0,2017
198,VUT,51.0,36.0,69.0,2017
199,WB_HI,18.0,15.0,21.0,2017
200,WB_LI,194.0,170.0,219.0,2017
201,WB_LMI,224.0,204.0,244.0,2017
202,WB_UMI,98.0,90.0,107.0,2017
203,WPR,98.0,81.0,117.0,2017
204,WSM,17.0,14.0,19.0,2017
205,YEM,48.0,42.0,54.0,2017
206,ZAF,738.0,474.0,1060.0,2017
207,ZMB,361.0,225.0,528.0,2017
208,ZWE,221.0,158.0,295.0,2017
209,AFG,189.0,122.0,270.0,2018
210,AFR,234.0,207.0,263.0,2018
211,AGO,355.0,228.0,508.0,2018
212,ALB,18.0,15.0,20.0,2018
213,AMR,28.0,26.0,31.0,2018
214,AND,3.1,2.6,3.5,2018
215,ARE,1.0,0.86,1.2,2018
216,ARG,27.0,23.0,31.0,2018
217,ARM,31.0,23.0,41.0,2018
218,ATG,6.3,5.4,7.3,2018
219,AUS,6.6,5.6,7.6,2018
220,AUT,6.1,5.2,7.1,2018
221,AZE,63.0,48.0,81.0,2018
222,BDI,111.0,70.0,160.0,2018
223,BEL,9.2,7.9,11.0,2018
224,BEN,56.0,36.0,81.0,2018
225,BFA,48.0,31.0,69.0,2018
226,BGD,221.0,161.0,291.0,2018
227,BGR,23.0,18.0,29.0,2018
228,BHR,12.0,10.0,14.0,2018
229,BHS,14.0,12.0,16.0,2018
230,BIH,25.0,20.0,31.0,2018
231,BLR,31.0,23.0,40.0,2018
232,BLZ,30.0,25.0,35.0,2018
233,BOL,108.0,70.0,155.0,2018
234,BRA,46.0,39.0,53.0,2018
235,BRB,0.41,0.35,0.47,2018
236,BRN,66.0,57.0,76.0,2018
237,BTN,148.0,113.0,187.0,2018
238,BWA,275.0,208.0,352.0,2018
239,CAF,540.0,349.0,771.0,2018
240,CAN,5.5,4.7,6.4,2018
241,CHE,6.4,5.5,7.4,2018
242,CHL,18.0,15.0,21.0,2018
243,CHN,61.0,51.0,71.0,2018
244,CIV,142.0,90.0,207.0,2018
245,CMR,186.0,118.0,270.0,2018
246,COD,321.0,207.0,459.0,2018
247,COG,375.0,237.0,543.0,2018
248,COK,0.0,0.0,0.0,2018
249,COL,33.0,26.0,41.0,2018
250,COM,35.0,23.0,50.0,2018
251,CPV,49.0,37.0,62.0,2018
252,CRI,10.0,7.7,13.0,2018
253,CUB,7.2,6.0,8.5,2018
254,CYP,4.6,3.9,5.3,2018
255,CZE,4.7,4.1,5.5,2018
