,Disease,Herb
0,Encephalitis,Radix Isatidis seu Baphicacanthi
1,Encephalitis,Dryopteris filix- mas
2,Encephalitis,Folium Isatidis
3,Encephalitis,Fructus Forsythiae
4,Encephalitis,Alternanthera philoxeroides
5,Encephalitis,Indigofera tinctoria
6,Encephalitis,Bulbus Allii
7,Encephalitis,Herba Alternantherae
8,Encephalitis,Pinus massoniana
9,Encephalitis,Osmunda japonica
10,Chronic pain,Kadsura heteroclita [Syn. Uvaria heteroclita]
11,Enteritis,Ficus beecheyana [Syn. Ficus erecta var. beecheyana]
12,Enteritis,Mosla scabra [Syn. Mosla punctata]
13,Enteritis,Bauhinia variegata
14,Enteritis,Berberis amurensis
15,Enteritis,Tadehagi triquetrum
16,Enteritis,Ampelopsis brevipedunculata var. hancei
17,Enteritis,Senecio nemorensis
18,Enteritis,Helicteres angustifolia
19,Enteritis,Delphinium kamaonense var. glabrescens
20,Enteritis,Kadsura coccinea
21,Enteritis,Aconitum tanguticum
22,Enteritis,Spilanthes acmella
23,Enteritis,Aristolochia versicolar
24,Enteritis,Aconitum sinomontanum
25,Enteritis,Isodon ternifolia
26,Enteritis,Elaeagnus angustifolia
27,Enteritis,Picrasma quassioides [Syn. Picrasma ailanthoides]
28,Enteritis,Herba Aristolochiae;Fibraurea recisa Pierre
29,Enteritis,Euphorbia hirta
30,Enteritis,Silene fortunei
31,Enteritis,Tithonia diversifolia
32,Enteritis,Przewalskia tangutica
33,Enteritis,Rosa roxburghii
34,Enteritis,Aristolochia tubiflora
35,Enteritis,Achillea alpina [Syn. Achillea sibirica ]
36,Enteritis,Euchresta strigillosa
37,Enteritis,Rumex crispus
38,Enteritis,Rubus alceaefolius
39,Enteritis,Eupatorium japonicum
40,Enteritis,Phyllanthus emblica
41,Enteritis,Herba Corydalis bungeae
42,Enteritis,Medicago sativa
43,Enteritis,Stephania dielsiana
44,Enteritis,Stephania succifera
45,Enteritis,Rodgersia pinnata
46,Enteritis,Microlepia strigosa [Syn. Trichomanes strigosa ]
47,Enteritis,Securidaca inappendiculata
48,Enteritis,Sophora alopecuroides
49,Enteritis,Ixeris sonchifolia
50,Enteritis,Herba Hedyotis Diffusae
51,Enteritis,Tacca plantaginea [Syn. Schizocapsa plantaginea]
52,Enteritis,Nauclea officinalis
53,Enteritis,Ixeris chinensis
54,Enteritis,Cephalanthus occidentalis
55,Enteritis,Clinopodium chinense
56,Enteritis,Halenia corniculata
57,Enteritis,Clerodendron cyrtophyllum
58,Enteritis,Meconopsis nepaulensis
59,Enteritis,Mimosa pudica
60,Enteritis,Glochidion eriocarpum
61,Enteritis,Adina pilulifera [Syn. Cephalanthus pilulifera ]
62,Enteritis,Asplenium prolongatum
63,Enteritis,Populus canadensis
64,Enteritis,Helicia nilagirica
65,Enteritis,Erigeron annuus
66,Enteritis,Tetracera asiatica
67,Enteritis,Radix Sophorae Tonkinensis
68,Enteritis,Senecio scandens [Syn. Senecio chinensis]
69,Enteritis,Polygonum hydropiper
70,Enteritis,Hypericum sampsonii
71,Enteritis,Potentilla viscosa
72,Enteritis,Lindera angustifolia
73,Enteritis,Herba Sophorae Alopecuroidis
74,Enteritis,Anisodus luridus
75,Enteritis,Ulva lactuca
76,Enteritis,Anisodus tanguticus [Syn. Scopolia tangutica ]
77,Enteritis,Tacca chantrieri
78,Enteritis,Hemsleya amabilis
79,Enteritis,Phyllanthus urinaria
80,Enteritis,Folium Isatidis
81,Enteritis,Herba Portulacae
82,Enteritis,Stenoloma chusanum
83,Enteritis,Hedyotis auricularia
84,Enteritis,Helicteres isora
85,Enteritis,Herba Euphorbiae humifusae
86,Enteritis,Emilia sonchifolia
