measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,COVID-19,Number,2017,0.0,0.0,0.0
Deaths,Global,Both,All ages,Tuberculosis,Number,2019,1199201.5614319197,1329182.5760508517,1109732.8357628058
Deaths,Global,Both,All ages,Tuberculosis,Number,2018,1225961.161890942,1334407.1447744088,1126978.2390859055
Deaths,Global,Both,All ages,Tuberculosis,Number,2020,1177979.4663522616,1314556.4320801408,1078542.4848567585
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2018,35579.523204065146,41533.20980228236,30031.645180245403
Deaths,Global,Both,All ages,Acute hepatitis,Number,2020,74615.2651101918,95370.48248218352,60369.31857414698
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2020,28870.11176323265,45392.18051446094,19897.716466763733
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2020,36646.12932205033,45461.292923272624,26866.8240171434
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2020,5596.152163637443,9458.942040558019,2427.931642746512
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2020,3502.8718612714783,6125.625808847849,1919.5758456591375
Deaths,Global,Both,All ages,Malaria,Number,2020,747416.287155353,1574751.36441287,255039.96675104243
Deaths,Global,Both,All ages,Malaria,Number,2018,672835.5588442215,1339956.5404989084,262418.85295631975
Deaths,Global,Both,All ages,Acute hepatitis,Number,2018,82160.67581408123,101889.30164324313,68048.21053592111
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2018,34754.0261759469,52009.47954604466,24792.74894885518
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2018,37929.37026609183,46003.842770697316,28350.305654663825
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2018,5855.3328285969765,10259.264187168657,2410.4216696906797
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2018,3621.9465434455333,6524.40559334878,1921.6404613733648
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2018,1533639.7381523056,1605747.0188996126,1447441.8091107921
Deaths,Global,Both,All ages,Diabetes mellitus,Number,2020,1625602.2222279843,1722400.74520835,1513448.7154093958
Deaths,Global,Both,All ages,Malaria,Number,2019,667860.7737222211,1307147.177064183,266329.07333067287
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2020,36619.14711904511,42400.47064326749,30549.887908851444
Deaths,Global,Both,All ages,Acute hepatitis,Number,2019,78410.48552203987,99703.20277477981,64419.72475788383
Deaths,Global,Both,All ages,Acute hepatitis A,Number,2019,31382.977970766526,48422.27914467578,22022.33508079441
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2019,37621.9911378557,46468.94996739235,27751.25005861801
Deaths,Global,Both,All ages,Acute hepatitis C,Number,2019,5759.197917686539,9782.406093239462,2412.1887741853193
Deaths,Global,Both,All ages,Acute hepatitis E,Number,2019,3646.3184957311596,6432.452740801972,1971.7908269736765
Deaths,Global,Both,All ages,Rheumatoid arthritis,Number,2019,36249.98301941326,41979.74980408583,30144.841663650564
